User,Tweet,Language
BrosFemo,RT @pathfinder1601: As found found on a friend's time line and she isn't answering her calls.. Here is her contact  09075958925.. Please help save Precious from #depression #depressed #YahooYahooNoBeHustle #ForAGreaterLagos #SaturdayMorning https://t.co/y6aniraqzq,en
KaTurmaine,"RT @Action_Falret: Une nouvelle #recherche a démontré qu'un régime méditerranéen à base de fruits, légumes, poissons,céréales complètes et de produits laitiers peut protéger les personnes âgées d'une #dépression  
#santémentale
Lien de l'article =&gt; https://t.co/IqAtXy9AAf https://t.co/Q03uEU0Tta",en
FTSImKMSing,"RT @EzMacArt: I made a to do list, then got completely overwhelmed by it and took a nap. In fairness, I did have a serious surgery a week and a half ago so I probably also needed a nap. #depression #livingwithdepression #shrug #recovery",en
danielleRinsall,"RT @FiveFiftyFifty: In Minnesota only 39.7% of youth with severe #depression received consistent treatment. Unfortunately, Minnesota has the highest percentage of any state. #DidYouKnow",en
EzMacArt,"I made a to do list, then got completely overwhelmed by it and took a nap. In fairness, I did have a serious surgery a week and a half ago so I probably also needed a nap. #depression #livingwithdepression #shrug #recovery",en
pamilapaduano3,"RT @jeffhalevy: Sorry to ruin your beers &amp; BBQ weekend...but #PTSD, #suicide, #depression &amp; #addiction are real problems for our #veterans and their families.
-
We treat our celebrities infinitely better than those who put their life at risk for our freedom to worship t… https://t.co/mRhU2sTw4W https://t.co/ePK3jwpRfQ",en
BipolarBattle,RT @Dawnmillward1: True words. Absolutely true #cptsd #MentalHealthMatters #mentalhealth #depression #mhealth https://t.co/6C8qClDHjl,en
mepprout,"RT @refugeingrief: Telling people to suck it up, move on, put it behind you, pretend you're happy has created epidemics of #addiction, #depression, &amp; #suicidality. It seems counterintuitive, but true comfort in #grief is in acknowledging the #pain, not in trying to make it go away. #griefrevolution https://t.co/nesJOR5J9m",en
adriansalter315,"RT @WroteAThing: Demon

#writingcommunity #writing #poetry #poetrycommunity #amwriting #poet #writer #writersofinstagram #poetsofinstagram #depression #mentalhealthawareness #mentalhealth #mentalillness #youarenotalone #nevergiveup… https://t.co/WsnxHTrBhP",en
felipecorchs,"RT @AllenFrancesMD: At long last, a vivid ECT story that gets everything just right.

Corrects awful movie stereotypes &amp; misleading critics.

ECT definitely my 1st choice for me if ever I develop severe #depression

Must read for clinicians/patients/families/armchair critics.
https://t.co/xXEU9NkvQO",en
NanJonesAuthor,"His light of morning grows and spreads and permeates the earth with the hope of a new day …

No matter the deprivation of the soul.

Because God is. https://t.co/4yVQ4iadKR #GodIsFaithful #depression #WhereIsGod",en
tweediehypnosis,"Combining Psychotherapy, NLP and Hypnosis to end negative thoughts and behavioural patterns.

See my website for more: https://t.co/4sNlUzhU8s
 
#hypnosis #hypnotherapist #wellness #anxiety #transformation #mentalhealth #therapy #depression #happiness #weightloss https://t.co/fvAsq7VvhX",en
DepressionMaxed,"Non-stop Thinking, Hating everything, wanting to die are just a few things I feel everyday :( Why is life so difficult!! #depression #DepressionAndMe #anxiety #AnxietyAndMe",en
riverside,"Depression and anxiety, can you have both? Read about it here: https://t.co/BxDF3HITgm #depression #anxiety #depressionandanxiety #healthquestions #riverside",en
misskayy_bayy,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
jlubas1125,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
zozowp,#depression  ??,ar
W6NZX,"I may be homeless, I might be mentally ill, I might be soot of things, one thing I will NEVER be is someone who sleeps in the fucking dirt.
-
-
-
-
-
-
-
#panicdisorder #anxietydisorder #depression #homeless… https://t.co/2kvrl2VxKU",en
SEMDocs,"RT @JAMA_current: The evidence regarding lifestyle modification (ie, #exercise and #diet) for major depressive disorder is promising, although the core symptoms of severe #depression make implementation challenging https://t.co/EaYcJAGds0",en
ricornelio,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",es
The_Autism_Dad,@WomenmarchFans I'm at war with #Depression every minute of every say. It's exhausting and emotionally draining. How can we help?,en
MHIIR_14,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en
MHIIR_14,"RT @MHIIR_14: PTSD is PTSD!

#PostTraumaticStressDisorder #PTSD #PTSDisPTSD #ComplexPostTraumaticStressDisorder #CPTSD #ComplexPTSD #PTSDAwareness #Trauma #Abuse #stress #depression #anxiety #MentalHealth #MentalHealthDisorder #mentalillness @MHIIR_14 https://t.co/pJJjvtc7s8",en
AdkinsKaden,RT @kxdleek1: #depressingedits #sad #sadedits #heartbroken #edits #love #depression #depressed #moodedits #explorepage #edit #mood #explore #depressededits #broken #depressing #sadquotes #sadedit #brokenheart #loveedits #depressionquotes #viral #sadvideos #moodedit #anxiety #depressionedits https://t.co/oG5Lojkzi3,en
WroteAThing,"Demon

#writingcommunity #writing #poetry #poetrycommunity #amwriting #poet #writer #writersofinstagram #poetsofinstagram #depression #mentalhealthawareness #mentalhealth #mentalillness #youarenotalone #nevergiveup… https://t.co/WsnxHTrBhP",en
krisfit4life,I joined twitter today looking for ways to work toward a #healthylifestyle #fitover40 while fighting #depression #anxiety #sicknotweak,en
ididitucan,"? Living with acute depression ?
RETWEET SHARE SUPPORT DONATE
@Pet1970bun #Depression #Help #Support #Donate #ididitucan #CrowdFund #Crowdfunding @Gofundme #Gofundme #Fundraising
??
SUPPORT
??
https://t.co/mLjx13CkPh https://t.co/DD325wKfUv",en
clearviewwomens,The Truth About Borderline Personality Disorder - https://t.co/3ge2j9NZI8 #bpd #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #borderline #bipolar #depression #anxiety #ptsd #trauma,en
atlsjkdm,RT @Erin_Vincent35: Homeschooling with Depression #homeschool #selfcare #depression #ihsnet #homeschoolmom #homeschoolhelp #helpforthehomeschoolmom #reallifehomeschooling https://t.co/yD22AlJOB1 via @Erin_Vincent35,en
CatastropheNova,Well I was feeling like accomplishing something today until unwanted guests came to my house just to insult me. Maybe another day... #depression #somuchforthat,en
MontelukastSE,"RT @Smile_Ness: Former GP reveals how she tried to kill herself four days after taking controversial asthma drug that sent her 'loopy-loo' - 25 May 2019

#Montelukast #Singulair #suicide #depression #anxiety

https://t.co/d865rVqqtC",en
Smile_Ness,"Former GP reveals how she tried to kill herself four days after taking controversial asthma drug that sent her 'loopy-loo' - 25 May 2019

#Montelukast #Singulair #suicide #depression #anxiety

https://t.co/d865rVqqtC",en
audisability,RT @audisability: Feeling lonely or just want to make new friends? Come join our free #disability &amp; #NDIS community to chat in a tolerant &amp; respectful environment : https://t.co/7VjW4FphPb Our members include #Autism #Depression #anxiety #mentalhealth #mentalillness #blindness #socent,en
greyrabbit5,"I don't feel like anyone takes me seriously. My family doesn't take me seriously, my boyfriend doesn't take me seriously, my friends... mostly don't take me seriously. #depression #anxiety",en
vkararwa,"Standing on the Edge Looking Down: Hope After the Worst of #Depression
https://t.co/nUnSbf09vF #MentalHealth https://t.co/kFxO0qCQ0k",en-gb
S_Cawley_18,"RT @VoiceDepression: #NFL Hall of Famer @BrianDawkins in a candid conversation about #depression, #suicidal thoughts, #faith and #friendship . Please RT to spread Brian's powerful message. https://t.co/PQHZ9EYd9h
#Philadelphia #Eagles #masculine #strength #YouAreNotAlone @RealDGunnNBCS #recovery https://t.co/WtKo365Z2X",en
YAQuienLeCreo,"Trozitos De Un Diario Olvidado...
.
Quote # 467 - ""Vuela Bruja...""
.
C. Elvin Solano 2019©

#YAQuienLeCreo
#QuotesByElvinSolano #Quotes
#Love #Pain #VuelaBruja #UrbanPoetry #Poetry #RD #WashingtonHeights #NYC #Queens #Depression #LostSouls #Letras #Words
.
https://t.co/3HhCh9DbLd https://t.co/7BLJm6ZHcZ",en
NHPsychotherapy,"Is there a link between menopause and depression? Evidence suggests there might be. #depression, #anxiety, #well-being, #mentalhealth https://t.co/6o5J6HUTlZ",en
SkypeTherapist,"#Mindfulness training provides one of the most effective ways of healing chronic #anxiety and #depression. Learn how to apply mindfulness for healing the mind.
Visit: Online Mindfulness Therapy https://t.co/wA24wSaK62",en
sbkramermd,"#LowSexDrive #HOTFLASHES, #DEPRESSION, #NightSweat and other menopause symptoms can be things from the past. 
HOW? For more info please visit: https://t.co/aJe8pLH7n4
#Health #Natural #Life #LibidoProblems #MenopauseSymptoms #treatment https://t.co/Ennx3NTZSw",en
kayms99,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
deletelinkedin,"RT @ParkinsonDotOrg: May is #MentalHealthMonth, making it the perfect opportunity to highlight common non-motor symptoms like #Depression as it pertains to PD: https://t.co/elYC8neUlw #MentalHealthAwarenessMonth #MentalHealth #DepressionIsReal #ParkinsonsDisease #Parkinsons #Together4PD https://t.co/SPheT0gDSV",en
IntrovertUnbnd,"""Not Talking About Mental Health Is Literally Killing Men"" via @MensHealthMag https://t.co/184Bxt8MDl #mentalhealth #MentalHealthAwarnessWeek #MentalHealthMonth #men #mensissues #depression #suicide #SuicideAwareness #SuicidePrevention https://t.co/0v87UofuL0",en
floralfalafel,am convinced the cure to my #depression is the smell of laundry detergent ??,en
friendshipbench,RT @melanieabas: Thrilled 2 receive this award from Zimbabwean Ambassador to UK on behalf of TENDAI team #HIV and #depression care and ?@friendshipbench? honoured in London tonight ?@zimachievers? ?@UKinZimbabwe? ?@KingsIoPPN? ?@GMentalHealth? ?@DixonChibanda? https://t.co/IYinx05fWa,en
lopezgovlaw,#MentalHealthMonth RT @libero_mag: TIPs for Coping with Self-Harm Urges #mentalhealthmonth #mentalhealthweek2019 https://t.co/YWHIO7V4pW #depression… https://t.co/0KG3JnHT57,en
manxozee,Worth a try #depression   https://t.co/GgWxd5tWse,en
abirosenewc,"RT @dedrey_nrs: Never allow it to take over your life
Talk to someone
Talk to a colleague 
Talk to an expert 
Talk about your #depression
Don't keep or die in silence #DepressionIsReal https://t.co/WVIfU99VXf",en
JessicaGimeno,6 Ideas: How To Exercise When You’re Depressed - https://t.co/skx6tbPuh0 via @JessicaGimeno #depression #bipolardisorder #stress,en
ohmygoditsfaif,I just deep cleaned my bedroom and bathroom!!! I am not playing anymore ???? #trexit #newme #depression #cancelled,en
UsualSuspect4u,"RT @oliviabehaviour: Good news: Parents who have children with autism are not at higher risk for divorce.

Bad news: Parents who have children with autism are at greater risk for #depression.

https://t.co/W8Zv4RfE4r

https://t.co/6Kk7G2om6D

#MentalHealthAwareness #AutismDoesntEndAtFord",en
AlphaSix0,"Depression can kill...so kill it first! 
#MentalHealth #Depression #Mentalhealthawareness #emotions #suicide #help #strength #Resilience #MentalToughness #TheRippleEffect #medical #RemoveTheStigma #Stigma #community #Australia #Speakup #Talk #Reachout #AlphaSix #HelpIsHere https://t.co/eiqpH9IXbi",en
AltWaysToHeal,"Do You Ever Just Want To Crawl Inside Yourself?? 
I DO Know how that feels!! 
It's a #CrazyWorld. 
Gotta Be Healthy! to Be Happy!!! 
Get Help for #Depression!! 
People DO Care!! 
https://t.co/O0SwtyPAWa https://t.co/wQufhOYolB",en
healingtouch221,RT @MinnetonkaTwin: Hope for dealing with depression https://t.co/rYIaK3IElT #depression #hope,en
aimee_brimson,RT @BekaLombardo: #Truth #KeepTalkingMH #anxiety #mentalhealth #depression #mentalillness https://t.co/BrBrQUpgz1,en
aimee_brimson,"RT @FibroPetition: #Fibromyalgia #MECFS #CFS #ChronicPain #Chronicillness #Anxiety #Depression #IBS #Endometriosis #Costochondritis #Spoonies #InvisibleIllness #StrongerTogether #UK #NotAllDisabilitiesAreVisible 
#FibromyalgiaAwarenessMonth
#WeNeedACure
PLEASE RT ? https://t.co/e9WHOK3Qbe",en
HopeVisionAct,"Memes can make a difference…

https://t.co/q938IqwWVp
https://t.co/cTANHXm4Mg

#depression #suicide #mentalhealth #anxiety https://t.co/JhMVRnIwtT",en
HopeVisionAct,"Today’s Daily Flower

#depression #suicide #mentalhealth #anxiety
https://t.co/q938IqwWVp
https://t.co/cTANHXm4Mg https://t.co/EkhQIplIWg",en
J_Souss,"RT @VoiceDepression: #NFL Hall of Famer @BrianDawkins in a candid conversation about #depression, #suicidal thoughts, #faith and #friendship . Please RT to spread Brian's powerful message. https://t.co/PQHZ9EYd9h
#Philadelphia #Eagles #masculine #strength #YouAreNotAlone @RealDGunnNBCS #recovery https://t.co/WtKo365Z2X",en
bhaskerpatel,"@DANIELJAMESREC Daniel has battled #depression since losing his Dad to #lungcancer at 55.
He has now run #londonmarathon 4 times raising over £15k 
His mum recently beat #skincancer so help him raise #awareness #beatcancer #lifeisfragile ?",en
Queen_BbK,"RT @CheekyPoppy1: This story is so true for many #MindDogAU clients &amp; a great example what difference they can make ? ?
It's what I'll be doing ?
#AsisstanceDogs #MentalHealth #Anxiety #Depression #Agoraphobia #SocialAnxiety
WATCH ?? 
https://t.co/FGLPGV35Lw https://t.co/KMOmeuq2VG",en
Altostrata,"@benzosarebad @And_Cipriani @StanKutcher @Mental_Elf @AllenFrancesMD @CoyneoftheRealm @officialNIHR It's subject selection bias, Fiona, not unethical. Their subject population is skewed towards people who think #side effects are worth staying on antidepressants &amp; their diagnosis is forever. Would have been nice if Web widget told me I didn't qualify on the #depression screener.",en
elizabethkeefe,"RT @oliviabehaviour: Good news: Parents who have children with autism are not at higher risk for divorce.

Bad news: Parents who have children with autism are at greater risk for #depression.

https://t.co/W8Zv4RfE4r

https://t.co/6Kk7G2om6D

#MentalHealthAwareness #AutismDoesntEndAtFord",en
WOWwellnesstips,"Problem: #Constipation
Solution:
1. Drink more water
2. Flaxseed oil-find out how it works at https://t.co/J76TDZSW1o ... select 'Get Well Stay Well'-it's FREE.
Laxative dependency causes mercury buildup and leads to kidney problems and more.
#IBS #guthealth #depression #wellness https://t.co/co9f8se6kq",en
CannabinoidLife,"RT @SimpsonRamaDur: Researchers at Buffalo Uni have published a study showing “chronic stress reduced the productition of #endocannabinoids, leading to depression-like behavior.” Meaning a lack of natural #cannabinoids in the body caused by stress can lead to #depression.
https://t.co/cjrcAvQWzE",en
Cloudylluke,"RT @BricePlays: ""Ive Been Thinking Too Much... Help Me."" 
#Doomer #lofibeats #lofi #lofihiphop #vaporwave #DepressionAndMe #depression #thoughts",de
KAfvbc,"Veterans PT Tab.
Taking the veterans out of the four walls, outside and moving. 
6.2 miles ending at a pub for some food and drinks.

#afvbc #breakfastclub #veterans #veteran #ArmedForces #ARMY #Navy #RAF #military #AirForce #mentalhealth #PTSD #isolation #depression #anxiety https://t.co/xtItBETvcG",en
Queen_BbK,"RT @thatstevecena: #SocialAnxiety and #Depression is great. 15 minutes agonizing over doing something, then another 15 when I got there.",en
rachneil34,"RT @SimpsonRamaDur: Researchers at Buffalo Uni have published a study showing “chronic stress reduced the productition of #endocannabinoids, leading to depression-like behavior.” Meaning a lack of natural #cannabinoids in the body caused by stress can lead to #depression.
https://t.co/cjrcAvQWzE",en
Rachietemp,"If you are a little neurodiverse and wonder why everyone else seems to have their s**t together take a stroll down @ErynnBrook thread on executive functioning and how #adhd #depression #anxiety can result in a lack of EF. 
If you are a regular Joe also read and learn a little x https://t.co/C0A5z8lzYb",en
DianeB76,"RT @oliviabehaviour: Good news: Parents who have children with autism are not at higher risk for divorce.

Bad news: Parents who have children with autism are at greater risk for #depression.

https://t.co/W8Zv4RfE4r

https://t.co/6Kk7G2om6D

#MentalHealthAwareness #AutismDoesntEndAtFord",en
TroyHighCaptain,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
TroyHighCaptain,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
budsoasis,"RT @budsoasis1: Blueberry high has a euphoric and hazy feel to it that creeps up on you slowly before washing over you with a sense of calm and ease and is perfect for  chronic #fatigue, #depression, #migraines, and chronic #stress or anxiety. Read more at https://t.co/KBoqFi9g4o https://t.co/RERUgShcX8",en
peachchila,"RT @Depress60810668: Being able to breathe doesn't mean that you are alive.
#depression 
#Anxiety",en
MikeIvyMD,RT @NEJM: Perspective: Esketamine for Treatment-Resistant #Depression — First FDA-Approved Antidepressant in a New Class https://t.co/c1yF578uZx #psychiatry https://t.co/PyjP7HxqxA,en
feeling16054833,#depression I AM NOT OKAY,en
Erin_Vincent35,Homeschooling with Depression #homeschool #selfcare #depression #ihsnet #homeschoolmom #homeschoolhelp #helpforthehomeschoolmom #reallifehomeschooling https://t.co/yD22AlJOB1 via @Erin_Vincent35,en
epstrong,"RT @J_La_Shae: Facts! 
#neverjudge ?
? #epilepsy       ?#anxiety
? #depression  ?#ptsd
? #lupus ?#cancer 
?#bipolar ?#ms ? #arthritis  
??#fibromyalgia 
? #heartdisease  #autism 
? #musculardystrophy
? #chronsdisease  
? #myalgicencephalomyelitis  #getinformed https://t.co/GOfuVeV5vi",en
JaydabeMusic,"I was doing the dishes, and stopped to take this shot. I had clinical depression, and overcame it. No matter how much shit you go through, there's always a reason to smile #depression #SuicidePrevention #AfricaDay2019 #SEVENTEEN_4TH_ANNIVERSARY #AEWDoN #Caturday #Share #retweet https://t.co/a7s8EQvFWn",en
Chris_McGowan16,"RT @moveitorloseit1: Did you know exercise is a powerful depression fighter? ? 

It promotes all kinds of changes in the brain, including neural growth, reduced inflammation and new activity patters which promote feelings of calm &amp; wellbeing. 
#Depression #Exercises #Moveitorloseit https://t.co/KIJ35n0uRc",en
maggs3270,Except for that 1% whose lives will be pure hell and these will be their best memories. #MentalHealthMatters #depression https://t.co/ZlZFOXsHku,en
IanChristianT1,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en
SkypeTherapist,Mindfulness Therapy is the application of #mindfulness for healing #anxiety and #depression and emotional pain. This is a very powerful approach once you have learned how to do this.,en
J_La_Shae,"Facts! 
#neverjudge ?
? #epilepsy       ?#anxiety
? #depression  ?#ptsd
? #lupus ?#cancer 
?#bipolar ?#ms ? #arthritis  
??#fibromyalgia 
? #heartdisease  #autism 
? #musculardystrophy
? #chronsdisease  
? #myalgicencephalomyelitis  #getinformed https://t.co/GOfuVeV5vi",en
DepressionMaxed,I created this account to let my feelings out because I don't feel like I can do it under my own name. Anyone else out there feel like they can't just be themselves from been depressed all the time? #depression #DepressionAndMe,en
ErinAlbe,"RT @VoiceDepression: #NFL Hall of Famer @BrianDawkins in a candid conversation about #depression, #suicidal thoughts, #faith and #friendship . Please RT to spread Brian's powerful message. https://t.co/PQHZ9EYd9h
#Philadelphia #Eagles #masculine #strength #YouAreNotAlone @RealDGunnNBCS #recovery https://t.co/WtKo365Z2X",en
toya00548505,20 Ways to overcome and fight #depression. #mentalhealth #hope https://t.co/xOnSVCXA0O via @DrMBengtson,en
ClearviewTreats,Changing our Approach to Children's Mental Health - https://t.co/tOuouIRRwF #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #bpd #borderline #bipolar #depression #anxiety #ptsd #trauma,en
JosephEasterda3,"RT @VoiceDepression: #NFL Hall of Famer @BrianDawkins in a candid conversation about #depression, #suicidal thoughts, #faith and #friendship . Please RT to spread Brian's powerful message. https://t.co/PQHZ9EYd9h
#Philadelphia #Eagles #masculine #strength #YouAreNotAlone @RealDGunnNBCS #recovery https://t.co/WtKo365Z2X",en
Elints22,"2.Lots of anxiety the whole day and  now also  afraid of if I don't get to sleep. Afraid if thoughts maby appears that definitely will not make me sleep. 
and so on.....
Just telling how it is
I have a new book to read. maby that'll help.
#selfmedication #anxiety #depression",en
dominicoryan,RT @melanieabas: Thrilled 2 receive this award from Zimbabwean Ambassador to UK on behalf of TENDAI team #HIV and #depression care and ?@friendshipbench? honoured in London tonight ?@zimachievers? ?@UKinZimbabwe? ?@KingsIoPPN? ?@GMentalHealth? ?@DixonChibanda? https://t.co/IYinx05fWa,en
lorileoauthor,"RT @refugeingrief: Telling people to suck it up, move on, put it behind you, pretend you're happy has created epidemics of #addiction, #depression, &amp; #suicidality. It seems counterintuitive, but true comfort in #grief is in acknowledging the #pain, not in trying to make it go away. #griefrevolution https://t.co/nesJOR5J9m",en
GreatBlueSongs,"RT @refugeingrief: Telling people to suck it up, move on, put it behind you, pretend you're happy has created epidemics of #addiction, #depression, &amp; #suicidality. It seems counterintuitive, but true comfort in #grief is in acknowledging the #pain, not in trying to make it go away. #griefrevolution https://t.co/nesJOR5J9m",en
TremblingEMT,"RT @ParkinsonDotOrg: May is #MentalHealthMonth, making it the perfect opportunity to highlight common non-motor symptoms like #Depression as it pertains to PD: https://t.co/elYC8neUlw #MentalHealthAwarenessMonth #MentalHealth #DepressionIsReal #ParkinsonsDisease #Parkinsons #Together4PD https://t.co/SPheT0gDSV",en
ConscFormula,#happiness #lawofattraction #goal #abundance #prosperity #prosperityconsciousness #laptoplife  #freedom #haran #fitness #women #health #haranthanabalasingam #australia #consciousnessformula #purpose #nlp #panicattack #wealth #melbourne #depression #ptsd #anxiety #stress https://t.co/Fbic23mP2P,en
Vaporwave_Bot_,"RT @BricePlays: N U M B 
#vaporwave #lofi #lofihiphop #Numb #depression https://t.co/A7NxhhUm8s",en
xandvt,RT @DrAhmedKazmi: About to discuss #depression with a group of lovely people at @BigRetreatWales so excited to demystify it and hopefully leave people feeling more confident and better informed #MentalHealthAwareness #Wellbeing @rcgp @rcpsych @bbchealth @MindCharity https://t.co/9FMLuUKBop,en
420Crystalz,"RT @SimpsonRamaDur: Researchers at Buffalo Uni have published a study showing “chronic stress reduced the productition of #endocannabinoids, leading to depression-like behavior.” Meaning a lack of natural #cannabinoids in the body caused by stress can lead to #depression.
https://t.co/cjrcAvQWzE",en
BotLofi,"RT @BricePlays: N U M B 
#vaporwave #lofi #lofihiphop #Numb #depression https://t.co/A7NxhhUm8s",en
BotLofi,"RT @BricePlays: ""Ive Been Thinking Too Much... Help Me."" 
#Doomer #lofibeats #lofi #lofihiphop #vaporwave #DepressionAndMe #depression #thoughts",en
Vaporwave_Bot_,"RT @BricePlays: ""Ive Been Thinking Too Much... Help Me."" 
#Doomer #lofibeats #lofi #lofihiphop #vaporwave #DepressionAndMe #depression #thoughts",en
TanyaNayler,"RT @ChrisNayler: Heading to the Suicide Awareness Walk. Walking in honour of my nephew Christopher, and of Derrick, Thomas and Peter whom we lost to suicide. Also in support of my son and others that struggle with suicidal thoughts.  #Barrie #SuicideAwareness #MentalHealthAwareness #depression",en
JadedSavior,What do I write about? #trauma #healing #anxiety #depression #energy #writerscommunity #bloggers https://t.co/7DMj4qSLqI,en
