User,Tweet,Language,Location
AnxiousQuill,"RT @MHIIR_14: #mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en,Malaysia
MHIIR_14,"#mentalillness How to help

#mentalhealth #MentalHealthAwareness #depression #anxiety #bipolar #Schizophrenia #BPD #EUPD #AVPD #OCPD #PND #PPD #dissociativeidentitydisorder #SchizoaffectiveDisorder #EatingDisorder #ptsd #CPTSD #OCD #BDD #bfrb #AndManyMore @MHIIR_14 https://t.co/B8tQOS8DKa",en,Worldwide
mystrangebones,"This is so key to understanding your #bipolar, #asd, or #ADHD or a loved one's. If you haven't heard of executive function please I've this a read.

Thanks so much, @ErrynBrook https://t.co/jyPe31cAjj",en,"Charleston, WV"
HealthyPlace,"The Myth of the #NervousBreakdown || https://t.co/a6x4zEN3ah
==
#mentalhealth #bipolar #depression #anxiety #mhsm #mhchat https://t.co/0OrwucgAEQ",en,Texas
ReachMD,"Could #BipolarDisorder increase the risk of other conditions? According to a new study, people who are #bipolar are 7x more likely to develop #Parkinsons later in life: https://t.co/J4N1s8mQ57",en,"Fort Washington, PA"
HealthyPlace,"Four Signs It’s Time to Seek #MentalHealth Help || https://t.co/t2huNyf4xA
==
#anxiety #depression #bipolar #mhsm #mhchat https://t.co/HDTvzna1FY",en,Texas
TrishHurtubise,"In 2004, during my first year of college at the age of 19, I was diagnosed with #bipolar I disorder. I was devastated and so scared of the #stigma surrounding the illness. #MentalHealth https://t.co/PxqCDRkBLU",en,Canada
Matt_stiadle,"New personal blog post about med shaming.

https://t.co/DpjFyWq0kd

#blog #medshaming #depression #anxiety #bipolar https://t.co/870LOxRDuJ",en,"Ithaca, NY"
TrishHurtubise,I'd watched him withdraw for the last two years and it broke my heart because it just wasn't him. I also knew it would just take time for him to come back to himself. #MentalHealth #Bipolar #Suicide #LossOfALovedOne #Grief,en,Canada
TrishHurtubise,"I was still highly variable in my mood, I was increasingly paranoid and totally withdrew from life. I disregarded my wife, and my #SelfHarm began again in earnest. https://t.co/XOuX9U4FAs #MentalHealth #Suicide #Schizophrenia #Bipolar #Veteran",en,Canada
TrishHurtubise,"Once they let me out [of the hospital], I was pretty resistant to treatment. I remember saying to the psychiatrist, “Everyone is #bipolar!” or “I’m just moody!” Well yup, it is a #MoodDisorder. https://t.co/7pnmwkDFFj #MentalHealth #Psychosis",en,Canada
LeslieNichole8,"After starting a new med for the new diagnosis Friday, with one dose I have energy, so I put it to use. A walk around the art museum, everything is in bloom and colorful.

#nature #bipolar #bloom #flowers #art… https://t.co/lOfHFFmWwT",en,"Raleigh, NC"
PCC_CNSDisord,Is there an association between #bipolar disorder and Arnold-Chiari malformation? Read this informative case report to find out. https://t.co/s8lAHMyIcj @nymedcollege https://t.co/6FDPYJRwvD,en,"Memphis, TN"
willregla,#Truth #MentalHealthAwarenessMonth #MentalHealth #Depression #Bipolar  https://t.co/Dlj8yZUYMj,en,South Florida
BobYamtich,"Unless you have #bipolar, read Walter Kaufmann’s “without guilt and justice: from decidophobia to autonomy.”

Human decisions matter.

I’m not good @ decisions.

I took vows of poverty chastity &amp; obedience, and my orders were vaguely whispered in Wind. 

I surrender, trust, hope.",en,"Fair Oaks, IN"
HealthyPlace,"What Do #MentalHealth Hospitals Do and Do I Need One? || https://t.co/4cz3BKpnWY
==
#depression #anxiety #bipolar #schizophrenia #mhsm #mhchat https://t.co/vCRhkzEpuH",en,Texas
Ben_C_Trades,It finally happened. mood stabilizers are not working so now it’s on to antipsychotics. I’m scared to go down this road. Any advice heading in? #bipolar #sicknotweak #bypolarbattle #bipolarwarrior,en,"Rochester, NY"
AwkAnxJennifer,"I'm not a danger to myself or others, but I'm not OK today. Been having a rough couple of weeks, and it's all caught up to me. Eventually I'll be OK, just not today. And I need to remind myself that it's OK to not be OK. #depression #anxiety #bipolar https://t.co/pe1O1tAIGu",en,"Illinois, USA"
HealthyPlace,"Taking Care of Myself by Asking for What I Want and Need || https://t.co/m9FX0vUr3w
==
#mentalhealth #bipolar #depression #anxiety #mhsh #mhchat https://t.co/2eeY8skhGs",en,Texas
Ben_C_Trades,"I put my family in a potential financial crisis yesterday. Thankfully it worked out, but it could have been a $215,000.00 fuck up. Why do I keep doing stupid shit like that?  #bipolar #sicknotweak #bypolarbattle",en,"Rochester, NY"
tappin10,Aaron Smith’s first over goes for 3 however Darren Smith’s first over goes for 5. #bipolar #mywife https://t.co/bpeGyCXjXm,en,"Quorn, England"
FrankieInParis,"RT @lindsey_ulmer: It doesn’t make me feel better
to spend time in the sunshine
or look up at cloudless skies
or walk the #verdant Greenway.
It’s like a burn victim
looking at old pictures of herself
before she was marred by fire.
Better not to look.

#vss365 #WritingComminuty #PoemADay #bipolar",en,"California, USA"
willregla,"Anyone else have these? 
#MentalHealthAwarenessMonth #MentalHealth #Depression #Bipolar https://t.co/FceF9x1Wal",en,South Florida
shakesjavaan,RT @mana_d_75: ???? ?????? ???? ??????? ????? ?? #??????_??_???? ?? #bipolar ??????? ?? ??? ???? ?????? ????? ? ???????? ?? ?? ?????? ? ?? ??? ????? ???????? ??? ??????? ?????? ??????? ???? ?? ?? ??? ????? ?? ???? ???????...?? ???? ?? ??? ??? ? ???? ?? ???? ??????? ?????...,en,???? ?? ??? ?? ??????
ChristianGrciia,"Había como un asiático que nos estaba mirando pues #ChinaMorbosa jaja, yo no tengo problema con eso, no me molesta ni es que me guste tampoco #bipolar. Pero a él parecía disgustarle. Me dijo ""vayamos a otra cabina"".",es,Reino Bogotano
happyhandstoys,RT @yennpurkis: #mentalhealth #bipolar #Schizophrenia meme for the day https://t.co/WU22HPrBwl,en,"St Paul, MN"
andrewmorrisuk,"RT @ariConference: Commonality in dysregulated expression of gene sets in cortical brains of individuals with #autism, #schizophrenia, and #bipolar disorder https://t.co/sEJLroRePs https://t.co/yMhrLLKtLu",en,Bedford
CambridgeAlpha4,"RT @ariConference: Commonality in dysregulated expression of gene sets in cortical brains of individuals with #autism, #schizophrenia, and #bipolar disorder https://t.co/sEJLroRePs https://t.co/yMhrLLKtLu",en,Cambridge
freepublicitygr,A highly entertaining memoir that allows readers to take a ride with Sid into the unfettered mind of a bipolar boy who never grows up until his hair turns white and it’s real hard to pee #memoir #bipolar #bullying #humor https://t.co/TgVCqMYR1u https://t.co/W6xwK07LPd,en,North Carolina
flawlessgrats,"RT @MentalHealthAm: As part of #MHACONF19, we're pleased to have race car driver @Justinpeck49 join us for our breakfast plenary on 6/15! Justin is a #mentalhealth advocate who uses his experience with #bipolar to inspire others. Learn more &amp; get tickets to his event here: [https://t.co/xQCYW50NVI] https://t.co/mEKgMNknO0",en,USA
Katcopley,I am so much less #anxious when outside with nature. Getting an allotment &amp; also making our garden just how I want it has helped enormously #mentalillness #bipolar #anxietydisorder,en,"Orpington, Kent"
dafil,GWAS study reported 20 newly identified loci. Total genomewide significant loci is now 30. #bipolar #genetic #GWAS https://t.co/c8JvoEYt2V,en,"Toronto, Ontario"
bellasbeauty5,"83 Benefits of #Journaling for #Depression, #Anxiety, and #StressManagement (PDF) https://t.co/bHwS2b9yHX #MentalHealthAwarnessWeek #MentalHealthMatters #bipolar #ocd #sprituality",en,London/Seychelles/Oz
andrewmorrisuk,RT @RFQuis: Are you in the process of trying to sort yourself out? https://t.co/BiV53em4Qs #SaturdayMorning #SaturdayMotivation #SaturdayThoughts #weekend #Satchat #suicidal #stayalive #selfcompassion #stress #encephalitis #bipolar #mentalillness #autism #aspergers #courage #dreams,en,Bedford
RFQuis,Are you in the process of trying to sort yourself out? https://t.co/BiV53em4Qs #SaturdayMorning #SaturdayMotivation #SaturdayThoughts #weekend #Satchat #suicidal #stayalive #selfcompassion #stress #encephalitis #bipolar #mentalillness #autism #aspergers #courage #dreams,en,"Fullerton, California"
Kiki070706,#mentalillness #mentalhealth #bipolar #depressionen #depression #manisch #bipolardisorders #bipolardisorder #bipolarestörung #psychischekrankheit #hypomania  #psychischeerkrankung #hypomanie #manic #suicide #manie #art #artwork #zeichnen #zeichnungen #bild #mentalhealthawareness https://t.co/BHkCe7vCus,de,"Essen, Nordrhein-Westfalen"
RFQuis,Are you seeking a way to transition from who you are to who you wish to be? https://t.co/BiV53em4Qs #SaturdayMorning #SaturdayMotivation #SaturdayThoughts #weekend #Satchat #suicide #depression #ADHD #PTSD #bipolar #addictions #schizophrenia #schizophrenia #angermanagement,en,"Fullerton, California"
sparksupportHQ,"If things are difficult right now, know that you matter, you are loved and everything will be okay ??@jessrachelsharp #depression #anxiety #MentalHealthAwarenessMonth #mentalhealth #mentalillness #MentalHealthAwareness #BPD #PTSD #OCD #EUPD #bipolar #Schizophrenia #health #hope https://t.co/DDP2p67V3f",en,UK
assisDansLaMerd,"Nadie más odia y adora comprar ropa que te queda genial porque se gasta dinero, o soy la única #bipolar de la sala? #fisiopsycho",es,"León, España"
benitocekah,Sabadou: pintar mandalas e curtir uma Playlist convidativa ao silêncio. #depressao #bipolar #ansiedade https://t.co/5ozk5A31WG,pt,"Rio de Janeiro, Brasil"
veganvix3n,"RT @veganvix3n: My #poetry #redbubble #art #stickers #prints #framedart #mentalillness #mentalhealth #bipolar #bpd #depression #recoverywarriors #fighting #typography #poetsofinstagram  #POEMS  

https://t.co/BpPFrbOrOU
https://t.co/kUNIvvIZe0
https://t.co/J26dXYn9KJ

If you can share my FB etc https://t.co/prfk2ZyOAr",en,england
wholeparent,"RT @jmacofearth: Universe Says: FULL STOP // Depression, Mania, and all the emotional states in between 

https://t.co/ErRC8hU9hw

#depression #bipolar #recovery #singledad #singleparent #parent #divorce https://t.co/9LixO9L91k",en,"Austin, Texas"
jmacofearth,"Universe Says: FULL STOP // Depression, Mania, and all the emotional states in between 

https://t.co/ErRC8hU9hw

#depression #bipolar #recovery #singledad #singleparent #parent #divorce https://t.co/9LixO9L91k",en,"Austin, Texas"
KMAsKorner,"RT @BekaLombardo: DON'T FORGET! THE SHOWS START AT 11:00 AM!!

Here's the link:

https://t.co/1sbusNT5QD

We've got 3 fantastic guests!

#KeepTalkingMH #bipolar #depression #anxiety #mentalillness #suicideprevention #podcast #author #blogger",en,"Naples, Florida"
soflanxietyhelp,"Which ‘Bipolar Me’ is Going to Wake Up Today? Nurturing the happiness that a rare ‘feel good’ day with bipolar disorder brings. https://t.co/nlYnLXqrEt
#bipolar #bipolardisorder",en,"Boca Raton, FL"
StephensonRATX,"RT @deathbyhibachi: #MargotKidder took her own life by a drug and alcohol overdose #onthisday just last year.

#otd #actress #director #Superman #LoisLane #Emmy #TheAmityvilleHorror #BlackChristmas #mentalhealth #bipolardisorder #bipolar #4mind4body #suicide #SuicideAwareness #MargaretRuthKidder https://t.co/4LEEfsWyge",en,An antique desk w a typewriter
Saintz11_,"""A buddy of mine shared this w/ me, thought it was spot on"" ?
#mentalhealthwarrior #mentalillness #bipolar #bipolarmemes #bipolardepression #motivation #inspiration #mentalhealthawareness #schizoaffective… https://t.co/h6qqMZUK5G",en,"Vermont, USA"
benitocekah,"Bom dia gente. Hoje é dia de ir a mais uma sessão. Penso em falar sobre a medicação, e sobre esta fase que vivo. Há muito tempo não ficava em baixa por tantas semanas. Preciso me ocupar. Parar me leva a um looping de pensamentos destrutivos. #depressao #bipolar",pt,"Rio de Janeiro, Brasil"
QuizCow,How #Bipolar Are You? #quiz https://t.co/61e1LApGlf,en,Worldwide
apdlblog,"I recently got diagnosed with bipolar disorder and I really don't know how to react to this. It's so scary to know I'm going to have my illness forever. Does anyone have any tips?

#bipolar #type2 #helpme",en,"Åbo, Finland"
AttitudesInRev,RT @MiaStJohnBoxer: SPEAKING OUT ?Serious #Mentalillness is often overlooked &amp; swept under the rug. Let’s EDUCATE #schizophrenia #Bipolar #Addiction #Suicide Know signs &amp; symptoms so we can have treatment before tragedy #Parkland #Aurora #Arizona #Newtown Ty @LACDMH @MarielHemingway @madchenamick https://t.co/sIVdZsajQ1,en,"Princeton, NJ"
AnneCooke14,RT @CompassionMH: Come and find out about peer approaches to #MentalHealth from Sascha @Mps2thOtherSide known by some as Scatter - planting seeds of community &amp; connection #bipolar #madsanity https://t.co/5qTtUlFZHU,en,Tunbridge Wells
CompassionMH,Come and find out about peer approaches to #MentalHealth from Sascha @Mps2thOtherSide known by some as Scatter - planting seeds of community &amp; connection #bipolar #madsanity https://t.co/5qTtUlFZHU,en-gb,"Cardiff, Wales, UK"
Schlumpf23_v3,"You can't run from your emotions.....

#bipolar #bipolardisorder https://t.co/QUr18Mo732",en,"Berlin, Germany"
TomEMatte,Preventing Social Media Burnout In Mental Health Marketing https://t.co/PiiWHBN5TE #mentalhealth #marketing #mentalillness #bipolar #psychotic #psychward #mentalwellness #healthcaremarketing,en,"Atlanta, Georgia"
Schlumpf23_v3,"Some days you win and.....

#bipolar #bipolardisorder https://t.co/nmULAJE0wA",en,"Berlin, Germany"
mancunicorn88,"How mental health affects sex life- the good, the bad, the ugly. – Life As Just Nikki

I have this conversation with my partner all the time. I’m lucky he understands but I miss the old hypersexual me everyday #Bipolar #Sex #KeepTalkingMH #MentalHealth https://t.co/HSD69PaVeR",en,"Manchester, England"
Sulphurcocky1,"RT @NeuroscienceNew: Bipolar disorder may be linked to Parkinson's disease 

People who were hospitalized one to two times per year were four times more likely to develop Parkinson’s disease than those who were hospitalized less than once per year. #parkinsons #bipolar #health
https://t.co/1znGm1cFrB",en,Australia
tanyaverma20,"RT @for_meagan: Be brave.  

We know you are strong every single day.

Be Brave.

#FridayFeeling
#FridayThoughts
#FridayMotivation 
#MentalHealthAwarenessWeek #mentalhealth #mentalillness 
#SickNotWeak #SuicidePrevention #SuicideAwareness #depression #PTSD #TBI #Bipolar https://t.co/V7DvVkLwhQ",en,Mumbai
Schlumpf23_v3,"Maybe one day, I won#t need them....

#bipolar #bipolardisorder https://t.co/6uUqxntHmR",en,"Berlin, Germany"
Schlumpf23_v3,"Sadly, so very true..... 

#bipolar #bipolardisorder https://t.co/djGb3uKeu3",en,"Berlin, Germany"
