User,Tweet,Language,Location
clearviewwomens,The Truth About Borderline Personality Disorder - https://t.co/3ge2j9NZI8 #bpd #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #borderline #bipolar #depression #anxiety #ptsd #trauma,en,Los Angeles
MontelukastSE,"RT @Smile_Ness: Former GP reveals how she tried to kill herself four days after taking controversial asthma drug that sent her 'loopy-loo' - 25 May 2019

#Montelukast #Singulair #suicide #depression #anxiety

https://t.co/d865rVqqtC",en,Global
Smile_Ness,"Former GP reveals how she tried to kill herself four days after taking controversial asthma drug that sent her 'loopy-loo' - 25 May 2019

#Montelukast #Singulair #suicide #depression #anxiety

https://t.co/d865rVqqtC",en,Australia
audisability,RT @audisability: Feeling lonely or just want to make new friends? Come join our free #disability &amp; #NDIS community to chat in a tolerant &amp; respectful environment : https://t.co/7VjW4FphPb Our members include #Autism #Depression #anxiety #mentalhealth #mentalillness #blindness #socent,en,Worldwide
greyrabbit5,"I don't feel like anyone takes me seriously. My family doesn't take me seriously, my boyfriend doesn't take me seriously, my friends... mostly don't take me seriously. #depression #anxiety",en,"Eureka, CA"
KarenDunstan1,@BigChurchDayOut Fantastic talk  and advice about Anxiety by Will Van der Meer from Mind and Soul #Mentalhealthawareness #Anxiety #BCDO https://t.co/Pt3rINOANL,en,London
happyhandstoys,"? Today's featured #fidget ?
Nuts And Bolts Pencil Toppers
Use code SOCIAL10 for 10% off!
??https://t.co/n6gHWAaWLc
#Sensory #SPD #Stim #Autism #Aspergers #ASD #ADHD #Anxiety #Stress #HappyHandsToys 
(GIF: Closeup of hand spinning nut on pencil topper) https://t.co/YVR58CdXBZ",en,"St Paul, MN"
Go2Tubebular,#Gofundme #Helpwithmybills (How To Overcome #Anxiety And ...)  - https://t.co/OyGm4brYeN - #ApproachAnxiety #DealingWithAnxiety #HowToDealWithAnxiety #HowToFightFear #HowToOvercomeAnxiety - https://t.co/JoFubM3XvG https://t.co/4CBLLeHmk5,en,LOS ANGELES
VladimirTrump20,Can you spray cbd on weed for a more calming high? #cannabis #WeedThePeople #anxiety #metoo,en,The further
optimizedfamily,"Looking for a way to unlock great #productivity from your team? 
https://t.co/Gygr2dx7hw 
Specialist Liam O’Neill explains how helping your team tackle #stress &amp; #anxiety in the workplace can be a way to reach new #business heights. #selfcare",en,"Los Angeles, CA"
NHPsychotherapy,"Is there a link between menopause and depression? Evidence suggests there might be. #depression, #anxiety, #well-being, #mentalhealth https://t.co/6o5J6HUTlZ",en,"Halton Hills, Ontario"
SkypeTherapist,"#Mindfulness training provides one of the most effective ways of healing chronic #anxiety and #depression. Learn how to apply mindfulness for healing the mind.
Visit: Online Mindfulness Therapy https://t.co/wA24wSaK62",en,"Boulder CO, USA"
flightwit,How do I release stress and anxiety in a healthy way? https://t.co/AhuhYVkMY4  #anxiety #stress #stressrelief https://t.co/DlPIuunqlo,en,800 332-7359 • Get free app at
Tweetinggoddess,"RT @susilodola1: Do you think you are anxious for no reason? Many people don't understand why they feel #anxious, they tell me it just hits them out of the blue. I have put together this article and I hope it will shed some light on the issue.
#anxiety #mentalhealth 
https://t.co/aYTyyHKeDn",en,"Rosslare Harbour, Ireland"
cr_cgnizz,"RT @RAND0MP03TRY: If you have a build up of #anxiety or #worry, try some of these techniques. Do not feel ashamed or embarrassed. It is Natural. #ItsOkNotToBeOk @RespectYourself #MentalHealthMatters2019 #MentalHealthAwareness https://t.co/kmx7OhxLBD",en,"Kuching, Sarawak"
Jodessa1,#mentalhealthawareness #bpd #anxiety #ptsd #insomnia #bipolardisorder #issues #alonewithmythoughts https://t.co/OXOHuIhyLb,en,In my own little world...
healingtouch221,RT @MinnetonkaTwin: My journey with Anxiety https://t.co/VScHAYSfaj #Anxiety #hope,en,"Minnetonka, MN"
aimee_brimson,RT @BekaLombardo: #Truth #KeepTalkingMH #anxiety #mentalhealth #depression #mentalillness https://t.co/BrBrQUpgz1,en,"Devizes, Wiltshire "
aimee_brimson,"RT @FibroPetition: #Fibromyalgia #MECFS #CFS #ChronicPain #Chronicillness #Anxiety #Depression #IBS #Endometriosis #Costochondritis #Spoonies #InvisibleIllness #StrongerTogether #UK #NotAllDisabilitiesAreVisible 
#FibromyalgiaAwarenessMonth
#WeNeedACure
PLEASE RT ? https://t.co/e9WHOK3Qbe",en,"Devizes, Wiltshire "
LuisGoEsRaWr,Im now 4 wisdom teeth lighter. ? and in horrible pain. #anxiety #wisdomoftheday,en,"iPhone: 43.018166,-87.975761"
Queen_BbK,"RT @CheekyPoppy1: This story is so true for many #MindDogAU clients &amp; a great example what difference they can make ? ?
It's what I'll be doing ?
#AsisstanceDogs #MentalHealth #Anxiety #Depression #Agoraphobia #SocialAnxiety
WATCH ?? 
https://t.co/FGLPGV35Lw https://t.co/KMOmeuq2VG",en,"Manchester, England"
aimee_brimson,"RT @RAND0MP03TRY: If you have a build up of #anxiety or #worry, try some of these techniques. Do not feel ashamed or embarrassed. It is Natural. #ItsOkNotToBeOk @RespectYourself #MentalHealthMatters2019 #MentalHealthAwareness https://t.co/kmx7OhxLBD",en,"Devizes, Wiltshire "
RAND0MP03TRY,"RT @RAND0MP03TRY: If you have a build up of #anxiety or #worry, try some of these techniques. Do not feel ashamed or embarrassed. It is Natural. #ItsOkNotToBeOk @RespectYourself #MentalHealthMatters2019 #MentalHealthAwareness https://t.co/kmx7OhxLBD",en,United Kingdom
Rachietemp,"If you are a little neurodiverse and wonder why everyone else seems to have their s**t together take a stroll down @ErynnBrook thread on executive functioning and how #adhd #depression #anxiety can result in a lack of EF. 
If you are a regular Joe also read and learn a little x https://t.co/C0A5z8lzYb",en,An outdated legal society
Queen_BbK,RT @writen2thelight: Worrying about things I can't control. #anxiety #KeepTalkingMH #MentalHealth #mentalillness future event on my mind. #socialanxiety,en,"Manchester, England"
TroyHighCaptain,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en,"Troy, MI"
budsoasis,"RT @budsoasis1: Maui Mowie  is  a #marijuana gift of Hawaiian tropics is known to provide #relief from various ailments. Due to its high potency, it can easily provide relief from #pain and #anxiety. Read more at https://t.co/7AprIJtaPa https://t.co/UJZxN0hmcY",en,"Denver, CO"
Christine_Dantz,"RT @camaccallum: My patients report #CBD reduces their #anxiety and #chronicpain. They also say it is #safe, #welltolerated with very few,if any #sideeffects. If #CBD can be a #tool for #harmreduction &amp; #opioidcrisis we need human studies ASAP! @zivacooper @jennav5 @s_l_lake @RCapler @mjsmilloy https://t.co/wB6AR6VBc8",en,"Albany, NY"
peachchila,"RT @Depress60810668: Being able to breathe doesn't mean that you are alive.
#depression 
#Anxiety",en,San Diego
Queen_BbK,"RT @Ms_Rodrigues19: ""But one of the worst things about having #SocialAnxiety is the way that my social anxiety makes me appear to other people... my #Anxiety often makes me come off as being cold, disinterested, and even mean.""

https://t.co/aaFanhIcas",en,"Manchester, England"
IanChristianT1,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en,"San Diego, CA"
SkypeTherapist,Mindfulness Therapy is the application of #mindfulness for healing #anxiety and #depression and emotional pain. This is a very powerful approach once you have learned how to do this.,en,"Boulder CO, USA"
J_La_Shae,"Facts! 
#neverjudge ?
? #epilepsy       ?#anxiety
? #depression  ?#ptsd
? #lupus ?#cancer 
?#bipolar ?#ms ? #arthritis  
??#fibromyalgia 
? #heartdisease  #autism 
? #musculardystrophy
? #chronsdisease  
? #myalgicencephalomyelitis  #getinformed https://t.co/GOfuVeV5vi",en,Chi town Grown?
ClearviewTreats,Changing our Approach to Children's Mental Health - https://t.co/tOuouIRRwF #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #bpd #borderline #bipolar #depression #anxiety #ptsd #trauma,en,"Los Angeles, CA"
Elints22,"2.Lots of anxiety the whole day and  now also  afraid of if I don't get to sleep. Afraid if thoughts maby appears that definitely will not make me sleep. 
and so on.....
Just telling how it is
I have a new book to read. maby that'll help.
#selfmedication #anxiety #depression",en,Norway
AttachmentMumma,Just Pinned to Mental Health And Self Care.: 5 Steps to Manage Stress and Anxiety #stress #anxiety #wellbeing #selfcare https://t.co/KEsEK56n8B https://t.co/BE0bdnRXRE,en,"South coast, Sussex/Hampshire"
LovingSanders,Picking Apart Schizophrenia https://t.co/yRZCO83iQN #abeautifulmind #neuroscience #memoryloss #cognition #hallucination #anxiety,en,"Toronto, Canada"
luvblackroses,RT @modiquinn: #PwME #MyalgicE #MyalgicEncephalomyelitis #Fibromyalgia #Fibro #MS #EDS #LymeDisease #ChronicIllness #Disabled #Cancer #Veterans #Army #Anxiety #PTSD #PalliativeCare #Tell2 Stay safe! The #scammers keep making new profiles and ripping ppl off! It's never-ending! See thread! TY. https://t.co/lGxtza6oM6,en,?Northern Ireland?
andriisedniev,Stage Fright? — Here’s a Solution You Won’t Believe! https://t.co/Uf6SbVMYKM #stage #fear #anxiety #publicspeaking #speak https://t.co/qgbnCNYWhl,en,"Dallas, TX"
GroupGooding,"Like attracts like. Stay positive.
.
.
#recovery #mindfulness #anxiety #therapy #therapist #therapy https://t.co/e2qxoLBw0v",en,"Cold Spring Harbor, NY"
ForzaBluKenya,"RT @kozepusen: Have a good weekend all? Love Mika ???
#vintage #photographe #vinyl #gamer #music #twitch #hobbies #crafts #life #feels #famalams #norway #discord #mentalillness #depresión #anxiety #adhd #ptsd #positiveenergy… https://t.co/aa0OReRSVd",en,"Nairobi, Kenya"
JadedSavior,What do I write about? #trauma #healing #anxiety #depression #energy #writerscommunity #bloggers https://t.co/7DMj4qSLqI,en,"New York, USA"
DrDonnica,"RT @AskDrDonnica: @drjamieaten I had a similar recurrent nightmare over past 30+yrs. Usually it’s the night before a @Princeton calculus or physics final, I skipped all classes &amp; am completely unprepared.  Dream expert @AlexRandall5 told me this is classic Type A #anxiety dream. Anyone else? #MedTwitter",en,Chester NJ
lorraineareed,"RT @VCTrustee: Seek help for any mental health condition...

Don't ask and you won't get 

Your future is down to you. There are lots of people willing to help, but you have to let them know.

#anxiety #depression #PTSD #stress #MentalHealth #Wellbeing https://t.co/DssU3TVEyY",en,West London
lorraineareed,"RT @VCTrustee: Seek help for any mental health condition...

Don't ask and you won't get 

Your future is down to you. There are lots of people willing to help, but you have to let them know.

#anxiety #depression #PTSD #stress #MentalHealth #Wellbeing https://t.co/DssU3TVEyY",en,West London
Thefitnesswhisp,"If you suffer from stress or feel anxious, eating some kiwano can help to ease your mind and get your body back to a relaxed state.
@Thefitnesswhisp ?
°
°
°
°
#Health #eating #stressrelief #anxiety #dieting #eatclean #exercise #fitnessaddict #SUBARU #muscles https://t.co/cUcWSpun7O",en,"Toronto, Canada   "
stypht,https://t.co/CVqFkWPoz2 #indonesia #anxiety,en,Hogwarts
NikiePolite,"RT @_AshleyBratcher: Skill for helping w/ #anxiety &amp; #depression: half smile. It’s a Distress Tolerance skill that helps you accept &amp; tolerate with your body. Relax your face, neck, &amp; shoulders. Then half smile, until the corners of your mouth curl up w/o tension. In just 10 minutes it improves mood.",en,"Virginia, USA"
ShesaProtoType,29th I see my Psychiatrist and I'm going request going back to therapy. Kinda going backwards but hey ain't nothing wrong with starting over if it's going to potentially save your life.  #depression #mentalhealth #anxiety,en,Earth 
kozepusen,"Have a good weekend all? Love Mika ???
#vintage #photographe #vinyl #gamer #music #twitch #hobbies #crafts #life #feels #famalams #norway #discord #mentalillness #depresión #anxiety #adhd #ptsd #positiveenergy… https://t.co/aa0OReRSVd",en,Norway
onelastkick71,#SickNotWeak #mentalhealthmatters #BPDAwarenessmonth #anxiety ?@heylandsberg? https://t.co/NayKem0e22,en,"Toronto, Ontario"
ShesaProtoType,My brother and mama did an intervention on my ass and I needed it. A few times I found myself walking out in traffic without looking not because I want to die but my mind just be so fucked up in those moments. #mentalhealth #depression #anxiety #gethelp #youmatter,en,Earth 
YogaCredo,RT @Sami99857397: If everyone got taught mindfulness from a young age (schools) I'm sure the world would be a better a place. Learn it whilst you can! #osho #mindfullness #depression #anxiety #meditation #health #wellbeing #happiness #stress #improve,ru, Worldwide
SimplyAfterDark,"RT @MishaAlmira: Activate Your Superpowers! DRY FASTING: REVERSING CANCER, DIABETES, OBESITY, DEPRESSION, ANXIETY &amp; AGING  https://t.co/gz5WOFveel  #Depression #Anxiety #Antiaging #ReversingCancer #Herbs https://t.co/YflP97hJEF",en,"Boone, NC"
FRCenters,"Training #teens in a ""growth mindset"" can reduce their #stress and improve their grades. #stressmanagement #anxiety #parentingteens https://t.co/V0g5AdIsMS",en,"Lake Bluff, IL"
modiquinn,#PwME #MyalgicE #MyalgicEncephalomyelitis #Fibromyalgia #Fibro #MS #EDS #LymeDisease #ChronicIllness #Disabled #Cancer #Veterans #Army #Anxiety #PTSD #PalliativeCare #Tell2 Stay safe! The #scammers keep making new profiles and ripping ppl off! It's never-ending! See thread! TY. https://t.co/lGxtza6oM6,en,?#MyalgicE World #PwME #MEICC
AskDrDonnica,"@drjamieaten I had a similar recurrent nightmare over past 30+yrs. Usually it’s the night before a @Princeton calculus or physics final, I skipped all classes &amp; am completely unprepared.  Dream expert @AlexRandall5 told me this is classic Type A #anxiety dream. Anyone else? #MedTwitter",en,"New Jersey, USA"
FarrowComms,"Your health impacts your business. Spread the awareness.
https://t.co/K7dJ6skmpB

#MentalHealth #Depression #Anxiety https://t.co/z9bCVUOwDR",en,"Buffalo, NY"
zakatak17,"Your health impacts your business. Spread the awareness.
https://t.co/sapttfP27H

#MentalHealth #Depression #Anxiety https://t.co/TTUYbGA1L7",en,"Buffalo, New York"
SkypeTherapist,"Using #Mindfulness to Overcome #Anxiety and #Depression. Read more about Mindfulness Therapy in this very popular article: https://t.co/GKSNvigM0c.
Online Mindfulness Therapy via Skype. Visit: https://t.co/wA24wSaK62.",en,"Boulder CO, USA"
HolisticTips4U,"Uneasy in public? Video demo:
1) Five fears that trigger #anxiety
2) Muscle Testing  (optional) to find hidden fears
3) Quickly clearing emotions, ensuring they're gone
?  #PTSD #Veterans #Military
https://t.co/IavXasr2Xg",en,"Worldwide from Arizona, USA"
clearviewwomens,What Prevents People from Seeking Mental Health Treatment? https://t.co/1o4q6pFIV7 #mentalhealth #mentalillness #endthestigma #recovery #treatment #awareness #psychology #psychologist #therapy #therapist #dbt #cbt #bpd #borderline #bipolar #depression #anxiety #ptsd #trauma,en,Los Angeles
TrialsiteN,Danish-Led Study Reveals Genetic Variants Associated with #anxiety https://t.co/bqvdo0vOTK via @Trial Site News,en,"Salt Lake City, Utah"
Mountainside,"Helpful tips on how to deal when life gets you down:

https://t.co/689pQmcN45 

#lifehacks #lifetips #inspiration #motivation #anxiety #mentalhealth #depression",en,"Canaan and Wilton, CT and Manhattan and Chappaqua, New York"
_SeasTheDay_,RT @shellbellsquest: People often wear many masks to hide a stiffling pain. #endthestigma because #mentalhealthmatters. #mentalhealthawarenessmonth &lt;- should be everyday.  We have to break the cycle of stigma so people can get the help they need. #depression #anxiety #mentalhealth https://t.co/VkIeYaf9j3,en,"Central Valley, CA"
LeonWCampbell,LETS STAND UP TO #Depression #ANXIETY #MentalHealthMatters  it’s good to talk #Actor #Musicvideo #Producer #designer #beats #bars #festivalseason #dj #songwriter #composer #piano sorry if the contents offends but this goes through many young people’s minds ? Thankyou 4 any RT? https://t.co/nlxsoitjx7,en,Wales cardiff 
miskyella,"RT @jimmisimpson: So excited @SophiaDelPizzo brought ASSMONKEY to @hollywoodfringe - I know I’m biased but it’s the funniest, most revealing take on #anxiety I’ve seen. Plus she lets me and @AhmedBharoocha (standup god #dreamcorpllc cast) jump in for some fun. Come see us!
https://t.co/EV4rWyAMqz",en-gb,Stationary
PurpleDahling,"I’ve been inside of my head for days. I’m sorry I haven’t been answering everyone. This is the perfect article to explain what I am going though....I combatted this once...I pray I can do it, again. #PTSD #OCD #Anxiety 

https://t.co/w2mBJM13iA",en,"Pennsylvania, USA"
FundExposure,RT @Go2Tubebular: #Gofundme #Helpwithmybills (Overcome #Anxiety Self #HYPNOSIS Session) TUBEANDBLOG - https://t.co/LVUvm9GFoo - #AnxietyRelease #Hypnotherapy #HYPNOTISM #OvercomeAnxiety #SELFHYPNOSIS - https://t.co/JoFubM3XvG https://t.co/2f0UAPfiGe,en,"Milan, Lombardy, Italy"
SmileDarken,#depression #anxiety https://t.co/IrZBeDgqgZ,en,United States
TruetoLifeCBD,"Only in recent years has has research on CBD become more common and widespread, so many people have false beliefs about the compound. #CBD #CBDOil #TrueToLifeCBD #life #health #happiness #anxiety #alternativemedicine #woke #healthy #CannabisCommunity #cannabis #happy",en,Worldwide
Analogbear,"RT @jimmisimpson: So excited @SophiaDelPizzo brought ASSMONKEY to @hollywoodfringe - I know I’m biased but it’s the funniest, most revealing take on #anxiety I’ve seen. Plus she lets me and @AhmedBharoocha (standup god #dreamcorpllc cast) jump in for some fun. Come see us!
https://t.co/EV4rWyAMqz",en,THE City
jthornthwaite,Why do #GenZ ‘s have so much #anxiety ? #socialmedia #anxiousaboutthefuture We are #bettertogether2019 Youth can advocate/act now eg: can chose to not use #plasticstraws now. Take leadership on actionable issues important to you @bcchamberofcom #BCCCAGM2019 https://t.co/DQ8zBQZE2G,en,North Vancouver BC
SmileDarken,#DepressionIsReal #depressed #depression #anxiety #Mentalhealth #selfharm #sad #sadquotes,en,United States
dokauk,"RT @dokauk: #building #mental #health in the #UK #construction sector 
https://t.co/LxsmQ3QbnS
#anxiety #depression #stress #whyconstruction #signs #employees #resources",en-gb,United Kingdom
EricUnknown1,"RT @barton_dene: Little boy Archie is just what I needed to make myself feel better.
#dogtherapy #cuteboy #anxiety #sittinglikeahuman https://t.co/rQJk3dOUs4",en,United States
LeonWCampbell,"STAND UP TO DEPRESSION.  Please Can Everyone RT ! ? THANKYOU #MusicVideo #Actor #Musician #Depression #Anxiety #PTSD #OCD #Drugs Prescription &amp; NON Prescribed can #KILL we are NOT ALONE  please if you are feeling Low confide in a LOVED One ?
otherwise TALK to Your G.P ? https://t.co/ZjDNTyJKkm",en,Wales cardiff 
AmVindicated,"RT @AmVindicated: That person you help and lift up…most likely they won’t give a damn about your politics either.   They’ll just be grateful for you in their life… and you may be the one that benefits the most!

#mentalhealth #depression #anxiety #IAmVindicated",en,"Dayton, OH"
joshuadowidat,Anxiety attack. Life changed for me in 25 minutes. https://t.co/5vgKMUUzns #anxiety #stress https://t.co/TccXBfP3GQ,en,Southeastern Arizona
GMaeDavies,"RT @FranklGlarino: #Anxiety is more than just being nervous.

#mentalhealth https://t.co/CS8CARVL1I",en,United Kingdom
RobynCharb,Sometimes my #anxiety just hits me so hard &amp; I don’t know why. Feeling extremely overwhelmed for no obvious reason...?? racing...but I’m going to open my ?@calm? app and take some mindful breaths. It’s ok. I’ll ignore the woman in the mirror. I got this! ?@Self_Reg? https://t.co/2HvMuRdFjT,en,"Ontario, Canada"
SkypeTherapist,Mindfulness Therapy is the application of #mindfulness for healing #anxiety and #depression. This is a very powerful approach once you have learned how to do this.,en,"Boulder CO, USA"
SymaTasaduq,#Mentalillness #Mentalhealth #SuicidePrevention #help #heal #anxiety #depression #SymaTasaduq https://t.co/Y1LFRF74bS,en,"Multan, Pakistan"
DiabeticCyborgg,(MEN)tal Health by @__alexithymia https://t.co/OvqY5WNa5G #MentalHealth #Gender #Depression #Anxiety #MensHealth #MentalIllness #,en,"Longview, TX"
caterpillarCltd,#overthinking #anxiety #deepthinking #lifecoach #1:1session https://t.co/RMBn1Xoxwy,en,United Kingdom
Go2Tubebular,#Gofundme #Helpwithmybills (How To Overcome #Anxiety | HINDI) T ... - https://t.co/isyd1kJclE - #AnxietyAndDepression #AnxietyCauses #AnxietySymptoms #AnxietyTreatment #AnxietyTreatmentHindi - https://t.co/JoFubM3XvG https://t.co/xEWztqHRvt,en,LOS ANGELES
ChrisEdge81,RT @talk_lpool: Our courses can help you feel better straight away by giving you information about #depression and #anxiety and showing you useful techniques to help you overcome your problems. You won’t have to speak in front of others if you don’t want to. #wellbeing https://t.co/ItJ5U9SohQ https://t.co/vdLOX1j7hk,en,"Liverpool, England"
TheFMRTGroup,Feeling anxious? Click the link below to learn how to alleviate anxiety symptoms through different methods! #mentalhealthawarenessmonth #mentalhealth #support #stress #anxiety #psychology https://t.co/Drg1VFh6UH,en,"Winston-Salem, NC"
KingdomWindz,"RT @TheFirmament777: Wherefore comfort yourselves together, and edify one another, even as also you do. 1 Thess 5:11

#friendship #friend #edify
#love #trueblue #honesty #generosity #faith #chooselife #kindness #lovequotes #biblestudy #share #comfort #worship #praisegod #Jesus #Christ #anxiety #trust https://t.co/o9LBEZ8Yd8",en,"North Carolina, USA"
tanyajpeterson1,Check it out to see how you can use #mindfulness to reduce your #anxiety https://t.co/JL74Oe0V1h #selfhelp #bibliotherapy #mentalhealth https://t.co/fGR6qgBhya,en,"Eugene, Oregon"
CounsellorsCafe,"RT @CounsellorsCafe: My on-again, off-again relationship with #anxiety has taught me a lot https://t.co/Ixa3yzjbX3",en-gb,United Kingdom
CounsellorsCafe,RT @CounsellorsCafe: How I manage to find something beautiful in my #anxiety #mentalhealth https://t.co/4g6QrMzkbA,en-gb,United Kingdom
MaureenMcCowen,"RT @susilodola1: Do you think you are anxious for no reason? Many people don't understand why they feel #anxious, they tell me it just hits them out of the blue. I have put together this article and I hope it will shed some light on the issue.
#anxiety #mentalhealth 
https://t.co/aYTyyHKeDn",en,"Kildare, Ireland"
sparklyquark,RT @mindfulpartner1: Feeling anxious? You're not alone - here's how #Londoners cope #anxiety #mentalhealth https://t.co/CLayuqhyyS,en,Morten Harket's pocket
jenthejester,"Please sir, can I have some coffee and eggs please?
Warriors need to eat well. It is just as important as having friends. Doesn’t it look good?! Enough for a coming battle. Or adventure ??
.
.
#anxiety #depression… https://t.co/rpSgHCiDbz",en,The Netherlands
barton_dene,"Little boy Archie is just what I needed to make myself feel better.
#dogtherapy #cuteboy #anxiety #sittinglikeahuman https://t.co/rQJk3dOUs4",en,"Leeds, England"
